Word	Number of Instance	Number of Sense	Perplexity
gatekeeper	1140	2	1.45133049498
milt	1140	2	1.45133049498
william_gilbert	1140	2	1.45133049498
middleman	1110	3	1.44785876244
pothunter	1110	3	1.44785876244
angler	1110	3	1.44785876244
rapscallion	1140	2	1.45133049498
nursery	1140	2	1.45133049498
ga	1110	3	1.44785876244
walk-up	1140	2	1.45133049498
chair	1055	2	1.22721528402
captain	2810	5	4.16626720898
mercer	1140	2	1.45133049498
psychotherapy	1140	2	1.45133049498
young_turk	1140	2	1.45133049498
compact	1110	3	1.44785876244
vet	1140	2	1.45133049498
preserver	1290	4	1.98229500311
baron	1110	3	1.44785876244
pioneer	1140	2	1.45133049498
tabula_rasa	1140	2	1.45133049498
sinew	1140	2	1.45133049498
mackintosh	1140	2	1.45133049498
aaron	1140	2	1.45133049498
rabbinate	1140	2	1.45133049498
webb	1140	2	1.45133049498
norm	1330	2	1.75112886566
appleton	1140	2	1.45133049498
feria	1140	2	1.45133049498
samuel_butler	1140	2	1.45133049498
squeaker	1140	2	1.45133049498
ague	1110	3	1.44785876244
deliverer	1290	4	1.98229500311
detention	1140	2	1.45133049498
pompey	1140	2	1.45133049498
right-hander	1140	2	1.45133049498
rationality	1140	2	1.45133049498
tripoli	1110	3	1.44785876244
southpaw	1140	2	1.45133049498
hemp	1110	3	1.44785876244
weekend_warrior	1140	2	1.45133049498
fag	1140	2	1.45133049498
syracuse	1290	4	1.98229500311
nectar	1110	3	1.44785876244
prophylactic	1140	2	1.45133049498
investigator	1250	3	1.89464570814
angus	1140	2	1.45133049498
bagnio	1140	2	1.45133049498
venue	1140	2	1.45133049498
presenter	1110	3	1.44785876244
convenience	1290	4	1.98229500311
reich	1110	3	1.44785876244
sexton	1140	2	1.45133049498
pensionary	1140	2	1.45133049498
crown_princess	1140	2	1.45133049498
cloister	1140	2	1.45133049498
incompetence	1140	2	1.45133049498
schiaparelli	1140	2	1.45133049498
brave	1140	2	1.45133049498
daybed	1140	2	1.45133049498
blasphemy	1140	2	1.45133049498
miller	1440	5	2.4747591631
occupier	1140	2	1.45133049498
lully	1140	2	1.45133049498
threshold	1420	4	2.54004858656
invention	2500	3	2.87174588749
booth	1290	4	1.98229500311
synergism	1140	2	1.45133049498
ottoman	1290	4	1.98229500311
trent	1140	2	1.45133049498
initiate	1110	3	1.44785876244
wyatt	1140	2	1.45133049498
slave_driver	1140	2	1.45133049498
mt	1290	4	1.98229500311
worldling	1140	2	1.45133049498
free_agent	1140	2	1.45133049498
telegraphy	1140	2	1.45133049498
learner	1140	2	1.45133049498
bergman	1140	2	1.45133049498
archaist	1140	2	1.45133049498
suspect	1140	2	1.45133049498
ship_builder	1140	2	1.45133049498
rhine	1140	2	1.45133049498
cordova	1110	3	1.44785876244
racine	1140	2	1.45133049498
descriptivism	1140	2	1.45133049498
garibaldi	1140	2	1.45133049498
jury	1095	2	1.34308891675
lee	1615	7	3.12527115021
skidder	1110	3	1.44785876244
young_man	1210	2	1.58641472528
hatchet_man	1140	2	1.45133049498
peripatetic	1140	2	1.45133049498
pendant	1140	2	1.45133049498
simon	1290	4	1.98229500311
studio	1000	1	1.0
ball-breaker	1140	2	1.45133049498
taylor	1110	3	1.44785876244
teacher	1020	2	1.10131944973
lauder	1140	2	1.45133049498
niebuhr	1140	2	1.45133049498
conviction	1155	2	1.48333337794
canadian	1140	2	1.45133049498
enmity	1140	2	1.45133049498
venturer	1140	2	1.45133049498
muscleman	1140	2	1.45133049498
envoy	1110	3	1.44785876244
calvin	1140	2	1.45133049498
foolishness	1110	3	1.44785876244
franklin	1110	3	1.44785876244
defeat	1250	2	1.64938488847
zombi	1375	5	2.30431306448
fourier	1140	2	1.45133049498
macintosh	1140	2	1.45133049498
confessor	1140	2	1.45133049498
pixy	1140	2	1.45133049498
mccormick	1140	2	1.45133049498
campaign	1995	3	2.81654336489
confession	1375	5	2.30431306448
bushman	1140	2	1.45133049498
thatcher	1140	2	1.45133049498
anaglyph	1140	2	1.45133049498
peer	1140	2	1.45133049498
follower	1140	2	1.45133049498
river_avon	1140	2	1.45133049498
cogency	1140	2	1.45133049498
shelley	1140	2	1.45133049498
cosmetician	1140	2	1.45133049498
tammy	1140	2	1.45133049498
graverobber	1140	2	1.45133049498
franck	1140	2	1.45133049498
new_york	1345	2	1.76715345306
gold_coast	1140	2	1.45133049498
taker	1140	2	1.45133049498
patron	1110	3	1.44785876244
negativist	1140	2	1.45133049498
luger	1140	2	1.45133049498
pusher	1375	5	2.30431306448
twirler	1140	2	1.45133049498
puke	1140	2	1.45133049498
strauss	1110	3	1.44785876244
aborigine	1140	2	1.45133049498
bazar	1140	2	1.45133049498
calm	1140	2	1.45133049498
celebrant	1140	2	1.45133049498
brunswick	1110	3	1.44785876244
planter	1110	3	1.44785876244
twin_falls	1140	2	1.45133049498
dismay	1140	2	1.45133049498
turnoff	1140	2	1.45133049498
lander	1140	2	1.45133049498
infamy	1140	2	1.45133049498
tin_can	1140	2	1.45133049498
hoffman	1140	2	1.45133049498
cashier	1140	2	1.45133049498
gymnastic_exercise	1140	2	1.45133049498
linesman	1140	2	1.45133049498
grief	1140	2	1.45133049498
dogma	1140	2	1.45133049498
berlin	1110	3	1.44785876244
popper	1110	3	1.44785876244
visionary	1140	2	1.45133049498
savior	1140	2	1.45133049498
saint_francis	1140	2	1.45133049498
wholeheartedness	1140	2	1.45133049498
flak	1110	3	1.44785876244
town	1170	3	1.65853313586
berth	1110	3	1.44785876244
bowler	1110	3	1.44785876244
raider	1140	2	1.45133049498
player	1200	3	1.72337354454
powys	1110	3	1.44785876244
totalitarianism	1140	2	1.45133049498
decker	1140	2	1.45133049498
impasse	1140	2	1.45133049498
mall	1140	2	1.45133049498
condominium	1140	2	1.45133049498
mechanic	1140	2	1.45133049498
white_potato	1140	2	1.45133049498
gladstone	1140	2	1.45133049498
romanticist	1140	2	1.45133049498
tallyman	1140	2	1.45133049498
dec	1140	2	1.45133049498
cad	1140	2	1.45133049498
ejaculator	1140	2	1.45133049498
flat_pea	1140	2	1.45133049498
cowl	1140	2	1.45133049498
lector	1140	2	1.45133049498
drawer	1110	3	1.44785876244
postulator	1140	2	1.45133049498
niagara	1140	2	1.45133049498
admirer	1110	3	1.44785876244
episcopate	1290	4	1.98229500311
robinson	1625	6	2.94071492696
tar	1140	2	1.45133049498
tapestry	1110	3	1.44785876244
information	1465	3	1.90363073576
cabalist	1110	3	1.44785876244
court	1230	4	1.96211693319
klein	1110	3	1.44785876244
elector	1140	2	1.45133049498
william_cowper	1140	2	1.45133049498
waterproof	1140	2	1.45133049498
briar	1290	4	1.98229500311
browne	1140	2	1.45133049498
lamp	1165	2	1.50367638625
withstander	1140	2	1.45133049498
earnings	1140	2	1.45133049498
nark	1140	2	1.45133049498
moron	1140	2	1.45133049498
prelim	1140	2	1.45133049498
military_intelligence	1140	2	1.45133049498
townsman	1140	2	1.45133049498
sabine	1140	2	1.45133049498
woodward	1140	2	1.45133049498
doodlebug	1110	3	1.44785876244
outlier	1140	2	1.45133049498
clone	1110	3	1.44785876244
pettifogger	1140	2	1.45133049498
expatriation	1140	2	1.45133049498
promoter	1140	2	1.45133049498
tragedy	1140	2	1.45133049498
procurer	1140	2	1.45133049498
high_priest	1140	2	1.45133049498
localism	1140	2	1.45133049498
brady	1140	2	1.45133049498
deserter	1140	2	1.45133049498
weekender	1140	2	1.45133049498
oates	1140	2	1.45133049498
lame	1140	2	1.45133049498
benny	1140	2	1.45133049498
tallis	1140	2	1.45133049498
loader	1140	2	1.45133049498
article_of_faith	1140	2	1.45133049498
indian_potato	1140	2	1.45133049498
capitalist	1140	2	1.45133049498
rheumatism	1140	2	1.45133049498
bather	1140	2	1.45133049498
lordliness	1140	2	1.45133049498
lindsay	1140	2	1.45133049498
producer	1775	3	2.5742715674
counsellor	1110	3	1.44785876244
beaumont	1110	3	1.44785876244
savoyard	1140	2	1.45133049498
thomson	1290	4	1.98229500311
prelature	1140	2	1.45133049498
lyric	1000	1	1.0
rondeau	1140	2	1.45133049498
interpreter	1290	4	1.98229500311
volta	1140	2	1.45133049498
seigniory	1140	2	1.45133049498
jacobs	1110	3	1.44785876244
shepard	1140	2	1.45133049498
duplex	1140	2	1.45133049498
bangle	1140	2	1.45133049498
wilder	1140	2	1.45133049498
simon_legree	1140	2	1.45133049498
plantation	1110	3	1.44785876244
imp	1140	2	1.45133049498
marsh	1110	3	1.44785876244
drip_pan	1140	2	1.45133049498
north_platte	1140	2	1.45133049498
server	1290	4	1.98229500311
eugene	1140	2	1.45133049498
lowell	1290	4	1.98229500311
driveller	1140	2	1.45133049498
chapterhouse	1140	2	1.45133049498
heretic	1140	2	1.45133049498
bernoulli	1110	3	1.44785876244
harrod	1140	2	1.45133049498
repeater	1290	4	1.98229500311
newman	1140	2	1.45133049498
rebel	1400	3	2.13600395516
hale	1110	3	1.44785876244
parkinson	1140	2	1.45133049498
stout	1140	2	1.45133049498
hands	1100	2	1.35613141339
payback	1140	2	1.45133049498
son	1040	2	1.1770645028
teller	1290	4	1.98229500311
bread	1140	2	1.45133049498
first_lady	1140	2	1.45133049498
mayoress	1140	2	1.45133049498
galloway	1140	2	1.45133049498
molotov	1140	2	1.45133049498
exotic_dancer	1140	2	1.45133049498
debacle	1110	3	1.44785876244
mead	1110	3	1.44785876244
supernumerary	1140	2	1.45133049498
importation	1140	2	1.45133049498
athletics	1110	3	1.44785876244
button	1750	2	1.97962633005
warner	1140	2	1.45133049498
wool_stapler	1140	2	1.45133049498
accelerator	1290	4	1.98229500311
steerer	1140	2	1.45133049498
haley	1140	2	1.45133049498
sprinkle	1140	2	1.45133049498
ballistics	1140	2	1.45133049498
owner	1600	2	1.93781924088
persian	1140	2	1.45133049498
sponsor	1140	2	1.45133049498
madras	1110	3	1.44785876244
portland	1140	2	1.45133049498
hart	1110	3	1.44785876244
scribe	1290	4	1.98229500311
niger	1140	2	1.45133049498
hacker	1290	4	1.98229500311
perry	1290	4	1.98229500311
cocktail	1140	2	1.45133049498
profit	1140	2	1.45133049498
god	1285	2	1.69751266238
rep	1140	2	1.45133049498
cognomen	1140	2	1.45133049498
legal_separation	1140	2	1.45133049498
mason	1375	5	2.30431306448
hill	1030	2	1.14075640614
shipment	1140	2	1.45133049498
reader	1575	3	2.29289817103
herder	1140	2	1.45133049498
pendent	1140	2	1.45133049498
haydn	1140	2	1.45133049498
burke	1140	2	1.45133049498
psychopathology	1140	2	1.45133049498
seigneury	1140	2	1.45133049498
