Word	Number of Instance	Number of Sense	Perplexity
gatekeeper	1140	2	2.0
milt	1140	2	2.0
william_gilbert	1140	2	2.0
middleman	1110	3	3.0
pothunter	1110	3	3.0
angler	1110	3	3.0
rapscallion	1140	2	2.0
nursery	1140	2	2.0
ga	1110	3	3.0
walk-up	1140	2	2.0
chair	1050	5	5.0
captain	2800	7	7.0
mercer	1140	2	2.0
psychotherapy	1140	2	2.0
young_turk	1140	2	2.0
compact	1110	3	3.0
vet	1140	2	2.0
preserver	1280	4	4.0
baron	1110	3	3.0
pioneer	1140	2	2.0
tabula_rasa	1140	2	2.0
sinew	1140	2	2.0
mackintosh	1140	2	2.0
aaron	1140	2	2.0
rabbinate	1140	2	2.0
webb	1140	2	2.0
norm	1330	2	2.0
appleton	1140	2	2.0
feria	1140	2	2.0
samuel_butler	1140	2	2.0
squeaker	1140	2	2.0
ague	1110	3	3.0
deliverer	1280	4	4.0
detention	1140	2	2.0
pompey	1140	2	2.0
right-hander	1140	2	2.0
rationality	1140	2	2.0
tripoli	1110	3	3.0
southpaw	1140	2	2.0
hemp	1110	3	3.0
weekend_warrior	1140	2	2.0
fag	1140	2	2.0
syracuse	1280	4	4.0
nectar	1110	3	3.0
prophylactic	1140	2	2.0
investigator	1245	3	3.0
angus	1140	2	2.0
bagnio	1140	2	2.0
venue	1140	2	2.0
presenter	1110	3	3.0
convenience	1280	4	4.0
reich	1110	3	3.0
sexton	1140	2	2.0
pensionary	1140	2	2.0
crown_princess	1140	2	2.0
cloister	1140	2	2.0
incompetence	1140	2	2.0
schiaparelli	1140	2	2.0
brave	1140	2	2.0
daybed	1140	2	2.0
blasphemy	1140	2	2.0
miller	1440	6	6.0
occupier	1140	2	2.0
lully	1140	2	2.0
threshold	1400	5	5.0
invention	2490	3	3.0
booth	1280	4	4.0
synergism	1140	2	2.0
ottoman	1280	4	4.0
trent	1140	2	2.0
initiate	1110	3	3.0
wyatt	1140	2	2.0
slave_driver	1140	2	2.0
mt	1280	4	4.0
worldling	1140	2	2.0
free_agent	1140	2	2.0
telegraphy	1140	2	2.0
learner	1140	2	2.0
bergman	1140	2	2.0
archaist	1140	2	2.0
suspect	1140	2	2.0
ship_builder	1140	2	2.0
rhine	1140	2	2.0
cordova	1110	3	3.0
racine	1140	2	2.0
descriptivism	1140	2	2.0
garibaldi	1140	2	2.0
jury	1090	2	2.0
lee	1600	8	8.0
skidder	1110	3	3.0
young_man	1210	2	2.0
hatchet_man	1140	2	2.0
peripatetic	1140	2	2.0
pendant	1140	2	2.0
simon	1280	4	4.0
studio	990	3	3.0
ball-breaker	1140	2	2.0
taylor	1110	3	3.0
teacher	1020	2	2.0
lauder	1140	2	2.0
niebuhr	1140	2	2.0
conviction	1150	2	2.0
canadian	1140	2	2.0
enmity	1140	2	2.0
venturer	1140	2	2.0
muscleman	1140	2	2.0
envoy	1110	3	3.0
calvin	1140	2	2.0
foolishness	1110	3	3.0
franklin	1110	3	3.0
defeat	1250	2	2.0
zombi	1375	5	5.0
fourier	1140	2	2.0
macintosh	1140	2	2.0
confessor	1140	2	2.0
pixy	1140	2	2.0
mccormick	1140	2	2.0
campaign	1980	4	4.0
confession	1375	5	5.0
bushman	1140	2	2.0
thatcher	1140	2	2.0
anaglyph	1140	2	2.0
peer	1140	2	2.0
follower	1140	2	2.0
river_avon	1140	2	2.0
cogency	1140	2	2.0
shelley	1140	2	2.0
cosmetician	1140	2	2.0
tammy	1140	2	2.0
graverobber	1140	2	2.0
franck	1140	2	2.0
new_york	1335	3	3.0
gold_coast	1140	2	2.0
taker	1140	2	2.0
patron	1110	3	3.0
negativist	1140	2	2.0
luger	1140	2	2.0
pusher	1375	5	5.0
twirler	1140	2	2.0
puke	1140	2	2.0
strauss	1110	3	3.0
aborigine	1140	2	2.0
bazar	1140	2	2.0
calm	1140	2	2.0
celebrant	1140	2	2.0
brunswick	1110	3	3.0
planter	1110	3	3.0
twin_falls	1140	2	2.0
dismay	1140	2	2.0
turnoff	1140	2	2.0
lander	1140	2	2.0
infamy	1140	2	2.0
tin_can	1140	2	2.0
hoffman	1140	2	2.0
cashier	1140	2	2.0
gymnastic_exercise	1140	2	2.0
linesman	1140	2	2.0
grief	1140	2	2.0
dogma	1140	2	2.0
berlin	1110	3	3.0
popper	1110	3	3.0
visionary	1140	2	2.0
savior	1140	2	2.0
saint_francis	1140	2	2.0
wholeheartedness	1140	2	2.0
flak	1110	3	3.0
town	1160	4	4.0
berth	1110	3	3.0
bowler	1110	3	3.0
raider	1140	2	2.0
player	1200	5	5.0
powys	1110	3	3.0
totalitarianism	1140	2	2.0
decker	1140	2	2.0
impasse	1140	2	2.0
mall	1140	2	2.0
condominium	1140	2	2.0
mechanic	1140	2	2.0
white_potato	1140	2	2.0
gladstone	1140	2	2.0
romanticist	1140	2	2.0
tallyman	1140	2	2.0
dec	1140	2	2.0
cad	1140	2	2.0
ejaculator	1140	2	2.0
flat_pea	1140	2	2.0
cowl	1140	2	2.0
lector	1140	2	2.0
drawer	1110	3	3.0
postulator	1140	2	2.0
niagara	1140	2	2.0
admirer	1110	3	3.0
episcopate	1280	4	4.0
robinson	1610	7	7.0
tar	1140	2	2.0
tapestry	1110	3	3.0
information	1450	5	5.0
cabalist	1110	3	3.0
court	1210	11	11.0
klein	1110	3	3.0
elector	1140	2	2.0
william_cowper	1140	2	2.0
waterproof	1140	2	2.0
briar	1280	4	4.0
browne	1140	2	2.0
lamp	1160	2	2.0
withstander	1140	2	2.0
earnings	1140	2	2.0
nark	1140	2	2.0
moron	1140	2	2.0
prelim	1140	2	2.0
military_intelligence	1140	2	2.0
townsman	1140	2	2.0
sabine	1140	2	2.0
woodward	1140	2	2.0
doodlebug	1110	3	3.0
outlier	1140	2	2.0
clone	1110	3	3.0
pettifogger	1140	2	2.0
expatriation	1140	2	2.0
promoter	1140	2	2.0
tragedy	1140	2	2.0
procurer	1140	2	2.0
high_priest	1140	2	2.0
localism	1140	2	2.0
brady	1140	2	2.0
deserter	1140	2	2.0
weekender	1140	2	2.0
oates	1140	2	2.0
lame	1140	2	2.0
benny	1140	2	2.0
tallis	1140	2	2.0
loader	1140	2	2.0
article_of_faith	1140	2	2.0
indian_potato	1140	2	2.0
capitalist	1140	2	2.0
rheumatism	1140	2	2.0
bather	1140	2	2.0
lordliness	1140	2	2.0
lindsay	1140	2	2.0
producer	1770	3	3.0
counsellor	1110	3	3.0
beaumont	1110	3	3.0
savoyard	1140	2	2.0
thomson	1280	4	4.0
prelature	1140	2	2.0
lyric	1000	2	2.0
rondeau	1140	2	2.0
interpreter	1280	4	4.0
volta	1140	2	2.0
seigniory	1140	2	2.0
jacobs	1110	3	3.0
shepard	1140	2	2.0
duplex	1140	2	2.0
bangle	1140	2	2.0
wilder	1140	2	2.0
simon_legree	1140	2	2.0
plantation	1110	3	3.0
imp	1140	2	2.0
marsh	1110	3	3.0
drip_pan	1140	2	2.0
north_platte	1140	2	2.0
server	1280	4	4.0
eugene	1140	2	2.0
lowell	1280	4	4.0
driveller	1140	2	2.0
chapterhouse	1140	2	2.0
heretic	1140	2	2.0
bernoulli	1110	3	3.0
harrod	1140	2	2.0
repeater	1280	4	4.0
newman	1140	2	2.0
rebel	1395	3	3.0
hale	1110	3	3.0
parkinson	1140	2	2.0
stout	1140	2	2.0
hands	1100	2	2.0
payback	1140	2	2.0
son	1040	2	2.0
teller	1280	4	4.0
bread	1140	2	2.0
first_lady	1140	2	2.0
mayoress	1140	2	2.0
galloway	1140	2	2.0
molotov	1140	2	2.0
exotic_dancer	1140	2	2.0
debacle	1110	3	3.0
mead	1110	3	3.0
supernumerary	1140	2	2.0
importation	1140	2	2.0
athletics	1110	3	3.0
button	1750	7	7.0
warner	1140	2	2.0
wool_stapler	1140	2	2.0
accelerator	1280	4	4.0
steerer	1140	2	2.0
